2025-06-03 12:51:08,263 - INFO - Downloading required NLTK data...
2025-06-03 12:51:09,229 - INFO - ResourceProcessor initialized with resources dir: resources
2025-06-03 12:51:09,229 - INFO - Cleaned resources will be saved to: cleaned_resources
2025-06-03 12:51:09,229 - INFO - Starting resource processing...
2025-06-03 12:51:09,315 - INFO - Created clean directory: cleaned_resources
2025-06-03 12:51:09,317 - INFO - Created year directories
2025-06-03 12:51:09,319 - INFO - Processing file: resources\Year 4\directional derivates.pdf
2025-06-03 12:51:10,236 - INFO - Successfully processed resources\Year 4\directional derivates.pdf, found 0 content items
2025-06-03 12:51:10,237 - INFO - Processing file: resources\Year 4\Expected Values.pdf
2025-06-03 12:51:10,242 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,260 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,261 - INFO - Successfully processed resources\Year 4\Expected Values.pdf, found 0 content items
2025-06-03 12:51:10,261 - INFO - Processing file: resources\Year 4\Feasibility Learning.pdf
2025-06-03 12:51:10,266 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,268 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,270 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,271 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,272 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,273 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,273 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,274 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,275 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,276 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,277 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,278 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,279 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,280 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,281 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,282 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,284 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:10,285 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,448 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,449 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,449 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,450 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,450 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,451 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,451 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,452 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,452 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,452 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,454 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,454 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,454 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,455 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,455 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,455 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,456 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,456 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:13,460 - INFO - Successfully processed resources\Year 4\Feasibility Learning.pdf, found 0 content items
2025-06-03 12:51:13,460 - INFO - Processing file: resources\Year 4\fuzzy robust auto park.pdf
2025-06-03 12:51:16,006 - INFO - Successfully processed resources\Year 4\fuzzy robust auto park.pdf, found 1 content items
2025-06-03 12:51:16,007 - INFO - Saved content to cleaned_resources\Y4\algorithms\fuzzy robust auto park_algorithms.json
2025-06-03 12:51:16,009 - INFO - Saved content to cleaned_resources\Y4\networking\fuzzy robust auto park_networking.json
2025-06-03 12:51:16,010 - INFO - Saved content to cleaned_resources\Y4\machine_learning\fuzzy robust auto park_machine_learning.json
2025-06-03 12:51:16,011 - INFO - Processing file: resources\Year 4\gradient descent.pdf
2025-06-03 12:51:16,300 - INFO - Successfully processed resources\Year 4\gradient descent.pdf, found 0 content items
2025-06-03 12:51:16,301 - INFO - Processing file: resources\Year 4\Learning Problem.pdf
2025-06-03 12:51:16,307 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,307 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,309 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,309 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,310 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,310 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,310 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,312 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,312 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,313 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,314 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,314 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,315 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,317 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,317 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,319 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,320 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,321 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,322 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,322 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,976 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,976 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,976 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,976 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,978 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,978 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,978 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,978 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,978 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,979 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,979 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,979 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,979 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,980 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,981 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,983 - INFO - Successfully processed resources\Year 4\Learning Problem.pdf, found 0 content items
2025-06-03 12:51:16,983 - INFO - Processing file: resources\Year 4\Linear Models 1.pdf
2025-06-03 12:51:16,988 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,990 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,991 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,991 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,992 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,994 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,996 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,997 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,997 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,999 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:16,999 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,000 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,000 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,002 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,004 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,005 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,005 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,006 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,008 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,008 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,009 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,010 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,010 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,012 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:17,012 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,093 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,093 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,093 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,093 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,095 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,097 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,097 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,097 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,097 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,097 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,098 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,099 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,099 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,101 - INFO - Successfully processed resources\Year 4\Linear Models 1.pdf, found 0 content items
2025-06-03 12:51:27,102 - INFO - Processing file: resources\Year 4\Logistic Regression.pdf
2025-06-03 12:51:27,119 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,120 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,122 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,122 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,123 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,123 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,123 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,124 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,125 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,125 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,125 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,127 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,128 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,129 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,129 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,130 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,130 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,700 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,701 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,701 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,704 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,704 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,704 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,705 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,705 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,705 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,706 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,706 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,708 - INFO - Successfully processed resources\Year 4\Logistic Regression.pdf, found 0 content items
2025-06-03 12:51:27,708 - INFO - Processing file: resources\Year 4\Machine Learning Foundations.pdf
2025-06-03 12:51:27,737 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,738 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,739 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,740 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,741 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,741 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,741 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,742 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,744 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,759 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,759 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,761 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,761 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,776 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,777 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,778 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,778 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,778 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,779 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,779 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,782 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,783 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,783 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,797 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,798 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,799 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-06-03 12:51:27,800 - WARNING - CropBox missing from /Page, defaulting to MediaBox
